comparison,n_seed,mean_W_attr_diff,mean_R_out_diff,mean_Q_noise_diff,mean_Delta_E_internal_diff,mean_final_population_tv_distance,mean_final_D_diff,mean_coherence_diff,mean_entropy_diff,mean_diag_entropy_diff,mean_MI_diff,mean_ZZ_abs_delta
classical_same_graph_transport_minus_quantum_keep_structure,60,10.062027488751628,-8.529700625637958,-1.4316904489539146,-0.2554377103286973,0.2393828975176019,0.008532655226438712,-1.6690117217015765,0.5073176412292871,0.08517299265415411,-0.06143022185320742,0.07674751503971564
full_dephase_after_internal_minus_quantum_keep_structure,60,-8.04687373361856,9.809974698007782,-1.6079749443419615,0.015468537048128407,0.2587504397858528,-0.017337124337710983,-1.6690117217015765,-0.15872708115910308,-0.5808717297342361,-0.05682398498898902,0.19194276023237683
no_internal_links_minus_quantum_keep_structure,60,-15.857557760304891,22.13488911396571,-5.259045190052134,-0.09822965167224317,0.5931796678016485,-0.04590816267274482,-1.4960399877394006,-2.1237714475860257,-2.5100707779581484,-0.06464315927822258,0.5958865282383593
