scenario_id,scope,family,pattern,n_seeds,delta_l1_coherence_min,delta_l1_coherence_max,delta_l1_coherence_range,delta_l1_coherence_std,delta_purity_min,delta_purity_max,delta_purity_range,delta_purity_std,max_abs_part_P1_delta_min,max_abs_part_P1_delta_max,max_abs_part_P1_delta_range,max_abs_part_P1_delta_std,max_abs_ZZ_delta_min,max_abs_ZZ_delta_max,max_abs_ZZ_delta_range,max_abs_ZZ_delta_std,max_abs_negativity_delta_min,max_abs_negativity_delta_max,max_abs_negativity_delta_range,max_abs_negativity_delta_std,coherence_signs,seed_instability_score
1016,expanded_axes,measurement_timing_intervention,sparse_edge_measure,10,2.613366976523,2.979626154636,0.366259178113,0.113367412065,0.0,0.0,0.0,0.0,0.414190643484,0.423511802778,0.009321159294,0.003229620471,0.974440631109,1.075938098297,0.101497467188,0.025773867261,0.126425137566,0.145467985421,0.019042847855,0.005365836699,+10/-0/00,0.101497467188
1005,expanded_axes,external_periodic_drive,burst_shock_all,10,-5.326281678555,-4.820555302036,0.505726376519,0.150999001834,-0.85413775928,-0.852896534573,0.001241224707,0.000405956915,0.316246121635,0.34562287864,0.029376757005,0.007505919245,0.431066079047,0.477101002635,0.046034923588,0.012846690349,0.0,0.0,0.0,0.0,+0/-10/00,0.101145275304
41,original_54,topology_mutation,star_B,10,4.372979279189,4.871194622062,0.498215342873,0.15636116027,0.0,0.0,0.0,0.0,0.461015456933,0.528390840501,0.067375383568,0.018664304035,0.397023652212,0.473152735041,0.076129082829,0.020503260609,0.167509140559,0.181256861394,0.013747720835,0.003605486662,+10/-0/00,0.099643068575
40,original_54,topology_mutation,long_plus_chain,10,3.467639271682,3.95307562396,0.485436352278,0.153251839107,0.0,0.0,0.0,0.0,0.370497547435,0.382184881814,0.011687334379,0.003282676817,0.645941760366,0.717170826689,0.071229066323,0.019258041831,0.218731992775,0.235073600516,0.016341607741,0.00493516665,+10/-0/00,0.097087270456
1011,expanded_axes,multi_cell_chain_ring,four_node_two_contacts,10,2.402889576062,2.887409546728,0.484519970666,0.13698433588,0.0,0.0,0.0,0.0,0.312435063463,0.37009247242,0.057657408957,0.013910608805,0.177045874234,0.2431421648,0.066096290566,0.016602431148,0.171604391978,0.18873955515,0.017135163172,0.005008560049,+10/-0/00,0.096903994133
52,original_54,two_cell_contact,cross_contact,10,3.784391180444,4.267636074069,0.483244893625,0.144412198387,0.0,0.0,0.0,0.0,0.350209593329,0.400919121447,0.050709528118,0.014700052163,0.418573845339,0.474404432325,0.055830586986,0.017059137988,0.141183773959,0.146151671684,0.004967897725,0.001586094601,+10/-0/00,0.096648978725
45,original_54,initial_environment_variation,biased_right,10,6.139101090258,6.622290949616,0.483189859358,0.163296251049,-0.376965220965,-0.372856043347,0.004109177618,0.001337172076,0.496732323145,0.513773763438,0.017041440293,0.004500586928,1.433560533822,1.449837814296,0.016277280474,0.005315403222,0.102313317899,0.109173697091,0.006860379192,0.001949663286,+10/-0/00,0.096637971872
18,original_54,all_24_touch_orders,CDBA,10,1.700455702133,2.181797728702,0.481342026569,0.143504352032,0.0,0.0,0.0,0.0,0.605154366194,0.63262182862,0.027467462426,0.008366399252,0.694833468962,0.734625837314,0.039792368352,0.010623979997,0.192145586979,0.201067276577,0.008921689598,0.002571324621,+10/-0/00,0.096268405314
37,original_54,damage_restore_rewire,cut_middle_then_reconnect,10,2.767360327261,3.237616019611,0.47025569235,0.145652227536,0.0,0.0,0.0,0.0,0.441898664235,0.461316732686,0.019418068451,0.006308156772,1.045109623396,1.113503014808,0.068393391412,0.022039023607,0.279884675302,0.292516548901,0.012631873599,0.003738320178,+10/-0/00,0.09405113847
1015,expanded_axes,measurement_timing_intervention,late_measure_all_then_continue,10,0.240448447161,0.61518944609,0.374740998929,0.114409276702,0.0,0.0,0.0,0.0,0.613560075023,0.632283260277,0.018723185254,0.006305326028,0.888259335163,0.981622490084,0.093363154921,0.022573498622,0.176962511255,0.192242975039,0.015280463784,0.005333038351,+10/-0/00,0.093363154921
7,original_54,all_24_touch_orders,BACD,10,2.12363886577,2.580424068196,0.456785202426,0.149062185885,0.0,0.0,0.0,0.0,0.617227503321,0.649901528032,0.032674024711,0.011017984573,0.60554669179,0.680229595323,0.074682903533,0.025328100038,0.294995368897,0.310688570993,0.015693202096,0.004542587615,+10/-0/00,0.091357040485
1012,expanded_axes,measurement_timing_intervention,measure_A_each_step,10,3.043593040887,3.495160912459,0.451567871572,0.142040731102,0.0,0.0,0.0,0.0,0.405628899156,0.427911676935,0.022282777779,0.005765528059,0.661503230317,0.704036174726,0.042532944409,0.013004860735,0.178266051624,0.188542520183,0.010276468559,0.003143059029,+10/-0/00,0.090313574314
4,original_54,all_24_touch_orders,ACDB,10,2.828220319994,3.279171081431,0.450950761437,0.135044854503,0.0,0.0,0.0,0.0,0.539348883741,0.584065560101,0.04471667636,0.012694538832,0.714248541176,0.736972411433,0.022723870257,0.007872175417,0.28722845744,0.296282157821,0.009053700381,0.003378332847,+10/-0/00,0.090190152287
5,original_54,all_24_touch_orders,ADBC,10,3.595020802878,4.044238563272,0.449217760394,0.130827997876,0.0,0.0,0.0,0.0,0.517596867953,0.5623409203,0.044744052347,0.012699635631,0.634752868841,0.699996592548,0.065243723707,0.021883182196,0.311359605789,0.322676228838,0.011316623049,0.004334405971,+10/-0/00,0.089843552079
1013,expanded_axes,measurement_timing_intervention,measure_rotating_ABCD,10,1.391406876466,1.839137857265,0.447730980799,0.126195522294,0.0,0.0,0.0,0.0,0.587343056179,0.612983524794,0.025640468615,0.008358802764,0.868695085761,0.920883680566,0.052188594805,0.016457389622,0.217662396783,0.223956848663,0.00629445188,0.001894902845,+10/-0/00,0.08954619616
1002,expanded_axes,external_periodic_drive,sin_A_period5,10,3.109655006495,3.555909848027,0.446254841532,0.164025083746,0.0,0.0,0.0,0.0,0.437113429788,0.462965297749,0.025851867961,0.006674878313,0.690752219624,0.749095393044,0.05834317342,0.017575302354,0.146232268084,0.161316987061,0.015084718977,0.004144404637,+10/-0/00,0.089250968306
1001,expanded_axes,external_periodic_drive,sin_A_period2,10,3.983058364167,4.40503231049,0.421973946323,0.15420926149,0.0,0.0,0.0,0.0,0.424355603411,0.449425814768,0.025070211357,0.008397683955,0.711468412472,0.764778971775,0.053310559303,0.014634261086,0.060144079472,0.0686660196,0.008521940128,0.002960612859,+10/-0/00,0.084394789265
25,original_54,rhythm_stop_burst,fast_repeat_A,10,4.920065954149,5.337909089667,0.417843135518,0.143686430526,0.0,0.0,0.0,0.0,0.362752242979,0.364984911943,0.002232668964,0.000711308026,0.59522534691,0.640313205632,0.045087858722,0.015417037283,0.186948890087,0.193466024123,0.006517134036,0.002154788413,+10/-0/00,0.083568627104
1,original_54,all_24_touch_orders,ABCD,10,2.304958752035,2.714146151122,0.409187399087,0.143685805963,0.0,0.0,0.0,0.0,0.609338766721,0.649011686968,0.039672920247,0.010954374139,0.661783414529,0.71067639158,0.048892977051,0.017052505033,0.303809679824,0.313269493842,0.009459814018,0.003049982104,+10/-0/00,0.081837479817
2,original_54,all_24_touch_orders,ABDC,10,2.94438628804,3.347224180464,0.402837892424,0.142956500735,0.0,0.0,0.0,0.0,0.561348426937,0.604801439603,0.043453012666,0.01179663869,0.609798569094,0.658550179191,0.048751610097,0.016217854128,0.275844153209,0.287592416004,0.011748262795,0.003824011091,+10/-0/00,0.080567578485
19,original_54,all_24_touch_orders,DABC,10,3.815444101906,4.216374462868,0.400930360962,0.122761199237,0.0,0.0,0.0,0.0,0.505090462342,0.540789491002,0.03569902866,0.011323788897,0.59520298154,0.672850423486,0.077647441946,0.026558790048,0.360841585035,0.368087928092,0.007246343057,0.002257325858,+10/-0/00,0.080186072192
3,original_54,all_24_touch_orders,ACBD,10,1.590979083539,1.989047668668,0.398068585129,0.150252273531,0.0,0.0,0.0,0.0,0.625759727733,0.666266296193,0.04050656846,0.011127797549,0.680385932271,0.738685853739,0.058299921468,0.017229854041,0.300778703162,0.310073267029,0.009294563867,0.003247476224,+10/-0/00,0.079613717026
16,original_54,all_24_touch_orders,CBDA,10,1.134843843051,1.531850440575,0.397006597524,0.120360783365,0.0,0.0,0.0,0.0,0.630450054847,0.664233663737,0.03378360889,0.01003324869,0.66541863375,0.7254007476,0.05998211385,0.016332065292,0.173003577544,0.187792880374,0.01478930283,0.003604243472,+10/-0/00,0.079401319505
9,original_54,all_24_touch_orders,BCAD,10,1.350598969537,1.743511984641,0.392913015104,0.132285834796,0.0,0.0,0.0,0.0,0.626830542511,0.668451577372,0.041621034861,0.013219907683,0.608056623836,0.684016704717,0.075960080881,0.024657845511,0.265183571179,0.280303278798,0.015119707619,0.004765492532,+10/-0/00,0.078582603021
1004,expanded_axes,external_periodic_drive,square_all_fast_toxic,10,-8.892375534305,-8.499588195624,0.392787338681,0.137394057646,-0.937211289861,-0.9372016938,9.596061e-06,3.10527e-06,0.336840927661,0.360511852616,0.023670924955,0.007231103155,0.473767483298,0.518254132284,0.044486648986,0.015856138314,0.0,0.0,0.0,0.0,+0/-10/00,0.078557467736
17,original_54,all_24_touch_orders,CDAB,10,2.350271093995,2.736791630713,0.386520536718,0.119250177677,0.0,0.0,0.0,0.0,0.560404013123,0.594916468311,0.034512455188,0.010878211079,0.682151578596,0.728101632394,0.045950053798,0.012152783605,0.208554711036,0.215619179861,0.007064468825,0.00204861447,+10/-0/00,0.077304107344
10,original_54,all_24_touch_orders,BCDA,10,1.71746385204,2.061867296803,0.344403444763,0.129016092841,0.0,0.0,0.0,0.0,0.664212968024,0.710994818825,0.046781850801,0.015526402078,0.658546882998,0.734599729271,0.076052846273,0.025514364802,0.238952213863,0.257468373858,0.018516159995,0.005582825123,+10/-0/00,0.076052846273
1008,expanded_axes,multi_cell_chain_ring,three_node_ring_ABC,10,3.482348277564,3.856286048036,0.373937770472,0.105951984619,0.0,0.0,0.0,0.0,0.344093314684,0.36798880057,0.023895485886,0.006752791602,0.5471084317,0.593903195783,0.046794764083,0.016934034348,0.242005383475,0.26094846503,0.018943081555,0.006897588476,+10/-0/00,0.074787554094
20,original_54,all_24_touch_orders,DACB,10,4.048720758139,4.420068359841,0.371347601702,0.125552198728,0.0,0.0,0.0,0.0,0.505433059047,0.537802723521,0.032369664474,0.009880793242,0.613627312252,0.655465193649,0.041837881397,0.012850401661,0.381420274115,0.387786216942,0.006365942827,0.001943966097,+10/-0/00,0.07426952034
1018,expanded_axes,duplication_asymmetry,A_D_duplicate_like_unequal,10,3.322830125126,3.677501305052,0.354671179926,0.103810581827,0.0,0.0,0.0,0.0,0.331338600338,0.361075948718,0.02973734838,0.008397679695,0.582795970706,0.6533610814,0.070565110694,0.021087868853,0.122968514267,0.13151992978,0.008551415513,0.002343187487,+10/-0/00,0.070934235985
39,original_54,topology_mutation,cross,10,2.911508132355,3.160398691294,0.248890558939,0.088337336421,0.0,0.0,0.0,0.0,0.28015067811,0.291136693802,0.010986015692,0.003630224651,0.507073570492,0.573455167067,0.066381596575,0.0187119791,0.158508516664,0.172620641923,0.014112125259,0.004581387794,+10/-0/00,0.066381596575
1010,expanded_axes,multi_cell_chain_ring,four_node_ring_ABCD,10,1.753990832322,2.079752807419,0.325761975097,0.090629118633,0.0,0.0,0.0,0.0,0.361716789945,0.378178131377,0.016461341432,0.006115552873,0.599710451219,0.63676671276,0.037056261541,0.01036479432,0.099166356584,0.110921952325,0.011755595741,0.004277672966,+10/-0/00,0.065152395019
48,original_54,initial_environment_variation,mixed,10,-0.657583116659,-0.351814323972,0.305768792687,0.093530392824,-0.126815533004,-0.123883725942,0.002931807062,0.001043922795,0.289274573429,0.301547859017,0.012273285588,0.003646604246,0.536829033737,0.570881403193,0.034052369456,0.011645830687,0.0,0.0,0.0,0.0,+0/-10/00,0.061153758537
1017,expanded_axes,duplication_asymmetry,A_and_D_duplicate_like_parallel,10,3.320401148265,3.61042668796,0.290025539695,0.093881762641,0.0,0.0,0.0,0.0,0.334751485499,0.35956694258,0.024815457081,0.007106659656,0.685737037693,0.727133027842,0.041395990149,0.01336569797,0.147332721455,0.153846425217,0.006513703762,0.001729731948,+10/-0/00,0.058005107939
42,original_54,topology_mutation,single_AD,10,1.204456964558,1.396632930445,0.192175965887,0.063060210021,0.0,0.0,0.0,0.0,0.349597616787,0.354869073144,0.005271456357,0.001832511334,0.503430245108,0.553697907978,0.05026766287,0.014379680853,0.190776015667,0.198394924466,0.007618908799,0.002573491578,+10/-0/00,0.05026766287
43,original_54,initial_environment_variation,empty,10,8.768864278048,8.885603119746,0.116738841698,0.040507359245,-0.276766311296,-0.274125894534,0.002640416762,0.000615641764,0.535641745084,0.549936682804,0.01429493772,0.00497356666,1.450036126305,1.472615335994,0.022579209689,0.00690791459,0.220522334965,0.232305995691,0.011783660726,0.003385678956,+10/-0/00,0.02334776834
