candidate_id,grid_id,cost_per_angle,n_seed,mean_gain_before_cost,mean_angle_budget,mean_gross_controller_cost,mean_net_gain_after_cost,median_net_gain_after_cost,n_net_positive_after_cost,min_break_even_cost_per_angle,mean_break_even_cost_per_angle,no_resource_trick_count,max_budget_excess,max_residual
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,0.0,60,0.008031488902128105,152.29823339406713,0.0,0.008031488902128105,0.0078062822122322,60,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,1e-05,60,0.008031488902128105,152.29823339406713,0.0015229823339406713,0.0065085065681874344,0.006280343528566006,60,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,3e-05,60,0.008031488902128105,152.29823339406713,0.004568947001822014,0.003462541900306092,0.0032284661612336178,60,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,0.0001,60,0.008031488902128105,152.29823339406713,0.015229823339406711,-0.007198334437278606,-0.007453104624429741,0,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,0.0003,60,0.008031488902128105,152.29823339406713,0.04568947001822013,-0.037657981116092025,-0.03791859345528757,0,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,0.001,60,0.008031488902128105,152.29823339406713,0.15229823339406712,-0.14426674449193902,-0.1443353174636779,0,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,0.003,60,0.008031488902128105,152.29823339406713,0.45689470018220135,-0.4488632112800733,-0.4489680292138218,0,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,0.01,60,0.008031488902128105,152.29823339406713,1.5229823339406712,-1.5149508450385432,-1.5157398199376972,0,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,0.03,60,0.008031488902128105,152.29823339406713,4.568947001822013,-4.560915512919886,-4.564928367351078,0,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0399,0.1,60,0.008031488902128105,152.29823339406713,15.229823339406712,-15.221791850504584,-15.237395360982685,0,3.899133719288761e-05,5.271424396449468e-05,0,0.0,6.505906924303417e-14
