condition,n_seed,mean_W_attr,mean_late_W_attr,mean_allowed,mean_starved,mean_spent,mean_S_final,max_zero_store_action_violations,max_action_without_spend_violations,max_empty_store_action_violations,max_residual
no_supply_late_action,60,-1.8539857149502127e-18,-5.608927073425788e-56,0.0,80.0,0.0,0.0,0,0,0,4.263256414560601e-14
early_supply_late_action,60,4.196372261901919,4.19637226190192,22.0,58.0,0.9706065497473303,0.02939345025266976,0,0,0,4.6851411639181606e-14
late_supply_late_action,60,12.061033497336085,12.061033497336085,80.0,0.0,3.526154984542466,0.9617025313176928,0,0,0,4.707345624410664e-14
continuous_supply_late_action,60,12.030517395305957,12.030517395305957,79.0,1.0,3.488501950281065,0.03096270565140258,0,0,0,4.707345624410664e-14
initial_store_late_action,60,4.195731826689341,4.195731826689342,22.0,58.0,0.9706065497473303,0.02939345025266976,0,0,0,4.6851411639181606e-14
