condition,n_seed,mean_W_attr,min_W_attr,mean_allowed,mean_starved,mean_spent,mean_S_max,mean_S_final,max_zero_store_action_violations,max_action_without_spend_violations,max_empty_store_action_violations,max_residual
equal_total_continuous,60,23.729511518113497,23.1631580129577,137.65,62.35,6.382799599131731,0.08779576521777331,0.017200400868268358,0,0,0,4.8183679268731794e-14
equal_total_early,60,14.415770049014975,13.696761619045144,101.66666666666667,98.33333333333333,4.680864554832042,1.0,0.00316866317246782,0,0,0,4.7295500849031675e-14
equal_total_late,60,12.061033497336085,12.05849204379449,80.0,120.0,3.526154984542466,1.0,0.9617025313176928,0,0,0,4.7073456244106644e-14
equal_total_pulsed,60,23.281415556022363,22.60490491185385,135.43333333333334,64.56666666666666,6.381369359624707,0.13488410639813653,0.0186306403752935,0,0,0,5.284661597215746e-14
no_controller_drain_always,60,-1.8539857149502127e-18,-2.220446049250313e-16,0.0,200.0,0.0,1.0,1.0,0,0,0,4.263256414560601e-14
real_restart,60,22.478502971257814,21.330353108317137,158.08333333333334,41.916666666666664,7.189434123729269,1.0,0.9602461684709559,0,0,0,4.8627768478581856e-14
store_shuffle_restart,60,25.042975476214664,24.473001029259805,160.25,39.75,7.525022615859287,1.0,0.9563509214372873,0,0,0,5.0404125317982113e-14
supply_label_only_restart,60,-1.8539857149502127e-18,-2.220446049250313e-16,0.0,200.0,0.0,0.0,0.0,0,0,0,4.263256414560601e-14
