arm,n_seed,mean_resource_attributable_W,mean_diag_resource_attributable_W,mean_W_loss_to_structure,mean_R_in_cum,mean_R_out_cum,mean_Q_noise_cum,mean_Delta_E_internal,mean_final_E_total,mean_final_E,mean_final_A,mean_final_B,mean_final_C,mean_final_D,mean_coherence,mean_negativity,positive_W_loss_seed_count,mean_corr_coherence_vs_W_loss,max_residual
quantum_keep_structure,60,15.857557760304891,15.857557760304891,0.0,173.0,140.28875949959004,17.070650375950443,-1.639631120675381,0.7765332509886463,0.14838889509672296,0.1561656542868849,0.17496407799383562,0.2511064609384581,0.04590816267274482,2.465686443684029,0.006566442772400271,0,0.0,5.551115123125783e-15
dephase_after_internal_25,60,12.383500038182232,12.383500038182232,0.0,173.0,144.6610242790044,16.22083380306095,-1.6436061056220848,0.7725582660419426,0.23999211102850962,0.1724435423803259,0.16700780510701774,0.14897850586992703,0.04413630165616231,0.8989479101764238,0.00022362830105171038,0,0.0,6.661338147750939e-15
dephase_after_internal_50,60,9.765228511987988,9.765228511987988,0.0,173.0,147.77184090796828,15.780349734159142,-1.6327694815830633,0.7833948900809642,0.3153887815329183,0.18104888795677407,0.14997979442981446,0.10109913474435092,0.03587829141710632,0.3257224788559006,9.310851464666764e-06,0,0.0,8.881784197001252e-15
dephase_after_internal_75,60,8.282828078075028,8.282828078075028,0.0,173.0,149.5333386984847,15.540952921294295,-1.626032847117523,0.7901315245465045,0.36096464438487463,0.18502590976976363,0.13548688489034308,0.07826320893013851,0.030390876571384572,0.07526216972037313,0.0,0,0.0,9.769962616701378e-15
full_dephase_after_internal,60,7.810684026686331,7.810684026686331,0.0,173.0,150.09873419759782,15.462675431608483,-1.6241625836272526,0.7920017880367748,0.3759983412215865,0.1861114917837625,0.13002556480032287,0.07129535189606899,0.028571038335033844,0.0,0.0,0,0.0,1.0436096431476471e-14
classical_same_graph_transport,60,25.91958524905652,25.91958524905652,0.0,173.0,131.75905887395209,15.63895992699653,-1.8950688310040784,0.521095540659949,0.14696722070918572,0.11314957117884618,0.11757503823749511,0.08896289263523846,0.054440817899183536,0.0,0.0,0,0.0,5.306866057708248e-14
no_internal_links,60,-1.8539857149502127e-18,-1.8539857149502127e-18,0.0,173.0,162.42364861355574,11.811605185898312,-1.7378607723476243,0.6783035993164032,0.6782975820367704,1.6040877937346748e-06,2.338007913148385e-06,2.0751839258857717e-06,3.721389368248069e-69,0.21252463897366555,5.064731500405547e-19,0,0.0,4.263256414560601e-14
