profile,seed,arm,exact_oriented_effect,P1W_phase0,P1W_phase_pi2,oriented_effect
light,20260741,quantum_field_only,-0.0,0.539306640625,0.55712890625,-0.017822265625
light,20260741,quantum_no_entangle,0.0,0.519287109375,0.52783203125,-0.008544921875
light,20260741,quantum_direct_coupled,0.038028681089,0.351806640625,0.319091796875,0.03271484375
light,20260741,quantum_dephased_control,9.5267399e-05,0.493896484375,0.49462890625,-0.000732421875
light,20260742,quantum_field_only,-0.0,0.54541015625,0.54931640625,-0.00390625
light,20260742,quantum_no_entangle,0.0,0.5244140625,0.51708984375,0.00732421875
light,20260742,quantum_direct_coupled,0.038028681089,0.36328125,0.318359375,0.044921875
light,20260742,quantum_dephased_control,9.5267399e-05,0.50244140625,0.486083984375,0.016357421875
light,20260743,quantum_field_only,-0.0,0.542236328125,0.54833984375,-0.006103515625
light,20260743,quantum_no_entangle,0.0,0.52294921875,0.5185546875,0.00439453125
light,20260743,quantum_direct_coupled,0.038028681089,0.361572265625,0.3203125,0.041259765625
light,20260743,quantum_dephased_control,9.5267399e-05,0.4970703125,0.49853515625,-0.00146484375
light,20260744,quantum_field_only,-0.0,0.544921875,0.550537109375,-0.005615234375
light,20260744,quantum_no_entangle,0.0,0.532958984375,0.513427734375,0.01953125
light,20260744,quantum_direct_coupled,0.038028681089,0.3525390625,0.32080078125,0.03173828125
light,20260744,quantum_dephased_control,9.5267399e-05,0.50244140625,0.4912109375,0.01123046875
light,20260745,quantum_field_only,-0.0,0.544189453125,0.52001953125,0.024169921875
light,20260745,quantum_no_entangle,0.0,0.53076171875,0.529296875,0.00146484375
light,20260745,quantum_direct_coupled,0.038028681089,0.35791015625,0.322509765625,0.035400390625
light,20260745,quantum_dephased_control,9.5267399e-05,0.495361328125,0.497802734375,-0.00244140625
light,20260746,quantum_field_only,-0.0,0.5419921875,0.54150390625,0.00048828125
light,20260746,quantum_no_entangle,0.0,0.5263671875,0.535888671875,-0.009521484375
light,20260746,quantum_direct_coupled,0.038028681089,0.357177734375,0.306640625,0.050537109375
light,20260746,quantum_dephased_control,9.5267399e-05,0.4912109375,0.51611328125,-0.02490234375
light,20260747,quantum_field_only,-0.0,0.545654296875,0.538330078125,0.00732421875
light,20260747,quantum_no_entangle,0.0,0.530517578125,0.538818359375,-0.00830078125
light,20260747,quantum_direct_coupled,0.038028681089,0.350830078125,0.320068359375,0.03076171875
light,20260747,quantum_dephased_control,9.5267399e-05,0.514404296875,0.50341796875,0.010986328125
light,20260748,quantum_field_only,-0.0,0.538818359375,0.54150390625,-0.002685546875
light,20260748,quantum_no_entangle,0.0,0.535888671875,0.525634765625,0.01025390625
light,20260748,quantum_direct_coupled,0.038028681089,0.366455078125,0.319091796875,0.04736328125
light,20260748,quantum_dephased_control,9.5267399e-05,0.504638671875,0.509033203125,-0.00439453125
light,20260749,quantum_field_only,-0.0,0.54296875,0.555419921875,-0.012451171875
light,20260749,quantum_no_entangle,0.0,0.5322265625,0.523681640625,0.008544921875
light,20260749,quantum_direct_coupled,0.038028681089,0.360595703125,0.32177734375,0.038818359375
light,20260749,quantum_dephased_control,9.5267399e-05,0.498291015625,0.489013671875,0.00927734375
light,20260750,quantum_field_only,-0.0,0.5419921875,0.55126953125,-0.00927734375
light,20260750,quantum_no_entangle,0.0,0.5244140625,0.523681640625,0.000732421875
light,20260750,quantum_direct_coupled,0.038028681089,0.3564453125,0.31884765625,0.03759765625
light,20260750,quantum_dephased_control,9.5267399e-05,0.495361328125,0.5068359375,-0.011474609375
light,20260751,quantum_field_only,-0.0,0.55126953125,0.55615234375,-0.0048828125
light,20260751,quantum_no_entangle,0.0,0.5244140625,0.518310546875,0.006103515625
light,20260751,quantum_direct_coupled,0.038028681089,0.353271484375,0.31982421875,0.033447265625
light,20260751,quantum_dephased_control,9.5267399e-05,0.49853515625,0.503173828125,-0.004638671875
light,20260752,quantum_field_only,-0.0,0.54443359375,0.55322265625,-0.0087890625
light,20260752,quantum_no_entangle,0.0,0.529052734375,0.524658203125,0.00439453125
light,20260752,quantum_direct_coupled,0.038028681089,0.35595703125,0.308837890625,0.047119140625
light,20260752,quantum_dephased_control,9.5267399e-05,0.501708984375,0.512939453125,-0.01123046875
light,20260753,quantum_field_only,-0.0,0.545654296875,0.555419921875,-0.009765625
light,20260753,quantum_no_entangle,0.0,0.53515625,0.515625,0.01953125
light,20260753,quantum_direct_coupled,0.038028681089,0.35009765625,0.319091796875,0.031005859375
light,20260753,quantum_dephased_control,9.5267399e-05,0.494384765625,0.506591796875,-0.01220703125
light,20260754,quantum_field_only,-0.0,0.543701171875,0.5419921875,0.001708984375
light,20260754,quantum_no_entangle,0.0,0.51953125,0.532470703125,-0.012939453125
light,20260754,quantum_direct_coupled,0.038028681089,0.367919921875,0.32373046875,0.044189453125
light,20260754,quantum_dephased_control,9.5267399e-05,0.499755859375,0.496337890625,0.00341796875
light,20260755,quantum_field_only,-0.0,0.53955078125,0.5498046875,-0.01025390625
light,20260755,quantum_no_entangle,0.0,0.520751953125,0.519287109375,0.00146484375
light,20260755,quantum_direct_coupled,0.038028681089,0.350830078125,0.3212890625,0.029541015625
light,20260755,quantum_dephased_control,9.5267399e-05,0.50537109375,0.500732421875,0.004638671875
light,20260756,quantum_field_only,-0.0,0.54345703125,0.54638671875,-0.0029296875
light,20260756,quantum_no_entangle,0.0,0.515869140625,0.5224609375,-0.006591796875
light,20260756,quantum_direct_coupled,0.038028681089,0.357666015625,0.3212890625,0.036376953125
light,20260756,quantum_dephased_control,9.5267399e-05,0.49951171875,0.50244140625,-0.0029296875
medium,20260741,quantum_field_only,0.0,0.526123046875,0.543212890625,-0.01708984375
medium,20260741,quantum_no_entangle,0.0,0.510986328125,0.51953125,-0.008544921875
medium,20260741,quantum_direct_coupled,0.026703474128,0.3896484375,0.36572265625,0.02392578125
medium,20260741,quantum_dephased_control,6.7851275e-05,0.491943359375,0.4931640625,-0.001220703125
medium,20260742,quantum_field_only,0.0,0.53369140625,0.53369140625,0.0
medium,20260742,quantum_no_entangle,0.0,0.514892578125,0.5087890625,0.006103515625
