condition,n_seed,mean_W_attr,mean_allowed,mean_starved,mean_spent,mean_S_final,max_zero_store_action_violations,max_action_without_spend_violations,max_empty_store_action_violations,max_residual
supply_restart_after_stop_initial_zero,60,22.478502971257814,158.08333333333334,41.916666666666664,7.189434123729269,0.9602461684709559,0,0,0,4.8627768478581856e-14
strict_shuffle_reverse,60,20.989177012188964,158.0,42.0,7.139927215767148,0.041776029087885,0,0,0,5.040412531798211e-14
strict_shuffle_roll_73,60,21.436209277122355,158.0,42.0,7.11644885460536,0.2802740118937634,0,0,0,5.1514348342607263e-14
strict_shuffle_block_swap,60,20.68393428161405,158.05,41.95,7.199179477205759,0.9619479696201977,0,0,0,4.8627768478581856e-14
