source_arm,key,angle_multiplier,n_seed,mean_prep_coherence,mean_prep_MI,mean_readout_W,mean_diag_shadow_readout_W,mean_coherence_attributable_readout_W,positive_coherence_attributable_seed_count,mean_final_coherence,mean_final_MI
quantum,angle_key,-2.0,60,1.1728591162607365,0.023752622491445132,28.698690341367094,28.698420500455295,0.0002698409118006969,60,0.024757583629485536,0.00010302312851567132
quantum,angle_key,-1.5,60,1.1728591162607365,0.023752622491445132,27.90321965766427,27.90266637844632,0.0005532792179513635,60,0.2141920878091504,0.000663370644295993
quantum,angle_key,-1.0,60,1.1728591162607365,0.023752622491445132,25.74543251951784,25.7451204268233,0.00031209269453948233,60,0.41156250197752053,0.0015481802258776086
quantum,angle_key,-0.5,60,1.1728591162607365,0.023752622491445132,18.531318317662283,18.531614171896784,-0.0002958542345020021,0,0.6622406117592159,0.001470329099930943
quantum,angle_key,0.0,60,1.1728591162607365,0.023752622491445132,0.43536727824471677,0.43536727824471677,0.0,0,1.7607306971758556e-07,1.98165949527133e-08
quantum,angle_key,0.5,60,1.1728591162607365,0.023752622491445132,18.531910026131253,18.531614171896784,0.00029585423446534993,60,0.6622408154403269,0.0014703481134962712
quantum,angle_key,1.0,60,1.1728591162607365,0.023752622491445132,25.744808334128752,25.745120426823302,-0.0003120926945507326,0,0.4115624992671367,0.0015481802439492453
quantum,angle_key,1.5,60,1.1728591162607365,0.023752622491445132,27.9021130992284,27.902666378446316,-0.0005532792179155995,0,0.21419208780919116,0.0006633706442967059
quantum,angle_key,2.0,60,1.1728591162607365,0.023752622491445132,28.698150659543494,28.698420500455295,-0.0002698409118009929,0,0.024757583354168385,0.0001030231285155539
quantum,phase_shuffled_angle_key,-2.0,60,1.1728591162607365,0.023752622491445132,28.67574868343229,28.67575648945674,-7.80602445515181e-06,31,0.036642127252445714,0.0002370749975463572
quantum,phase_shuffled_angle_key,-1.5,60,1.1728591162607365,0.023752622491445132,25.724515372043502,25.72460459340478,-8.922136128213983e-05,29,0.44644902692471927,0.0013016555171115427
quantum,phase_shuffled_angle_key,-1.0,60,1.1728591162607365,0.023752622491445132,17.837374794980015,17.837454894407514,-8.009942749636068e-05,25,0.6841938498491172,0.0015789671901627537
quantum,phase_shuffled_angle_key,-0.5,60,1.1728591162607365,0.023752622491445132,8.08033825527343,8.080280191560577,5.8063712854343015e-05,31,0.5057586346900205,0.0003360501830431108
quantum,phase_shuffled_angle_key,0.0,60,1.1728591162607365,0.023752622491445132,0.43536727824471677,0.43536727824471677,0.0,0,1.760730697175856e-07,1.981659495360379e-08
quantum,phase_shuffled_angle_key,0.5,60,1.1728591162607365,0.023752622491445132,8.051890985110042,8.052002339881529,-0.00011135477148764099,24,0.5577800300407014,0.000400102189209321
quantum,phase_shuffled_angle_key,1.0,60,1.1728591162607365,0.023752622491445132,17.895994866328273,17.896053655861092,-5.878953282130913e-05,31,0.6909439459101044,0.0014362163294363815
quantum,phase_shuffled_angle_key,1.5,60,1.1728591162607365,0.023752622491445132,25.759738130013144,25.75965346363764,8.466637550205528e-05,30,0.45277904819356946,0.0012344506310065103
quantum,phase_shuffled_angle_key,2.0,60,1.1728591162607365,0.023752622491445132,28.675764295481198,28.67575648945674,7.806024454737326e-06,29,0.03664212725627469,0.00023707499754618762
classical,angle_key,-2.0,60,0.0,0.0006633090752853573,28.6368488179354,28.6368488179354,0.0,0,0.02475744310882278,0.00010301454110919086
classical,angle_key,-1.5,60,0.0,0.0006633090752853573,27.851435005357413,27.851435005357413,0.0,0,0.21419192190961014,0.0006633620568867499
classical,angle_key,-1.0,60,0.0,0.0006633090752853573,25.70858628416899,25.70858628416899,0.0,0,0.41156232447617397,0.0015481715277667696
classical,angle_key,-0.5,60,0.0,0.0006633090752853573,18.537981754227136,18.537981754227136,0.0,0,0.6622382849962086,0.0014701345061807797
classical,angle_key,0.0,60,0.0,0.0006633090752853573,0.5189216113509366,0.5189216113509366,0.0,0,0.0,4.230092596780681e-09
classical,angle_key,0.5,60,0.0,0.0006633090752853573,18.537981754227136,18.537981754227136,0.0,0,0.6622382849962086,0.0014701345061807797
classical,angle_key,1.0,60,0.0,0.0006633090752853573,25.70858628416899,25.70858628416899,0.0,0,0.41156232447617397,0.0015481715277667696
classical,angle_key,1.5,60,0.0,0.0006633090752853573,27.851435005357413,27.851435005357413,0.0,0,0.21419192190961014,0.0006633620568867499
classical,angle_key,2.0,60,0.0,0.0006633090752853573,28.6368488179354,28.6368488179354,0.0,0,0.02475744310882278,0.00010301454110919086
classical,phase_shuffled_angle_key,-2.0,60,0.0,0.0006633090752853573,28.615411709993207,28.615411709993207,0.0,0,0.03664198556730482,0.00023706641013416895
classical,phase_shuffled_angle_key,-1.5,60,0.0,0.0006633090752853573,25.68826793400076,25.68826793400076,0.0,0,0.4464488310641432,0.001301646848169724
classical,phase_shuffled_angle_key,-1.0,60,0.0,0.0006633090752853573,17.85796519284275,17.85796519284275,0.0,0,0.6841916487200302,0.0015789384940705167
classical,phase_shuffled_angle_key,-0.5,60,0.0,0.0006633090752853573,8.149075550366488,8.149075550366488,0.0,0,0.5057171889913171,0.0003347281913464185
classical,phase_shuffled_angle_key,0.0,60,0.0,0.0006633090752853573,0.5189216113509366,0.5189216113509366,0.0,0,0.0,4.230092596780681e-09
classical,phase_shuffled_angle_key,0.5,60,0.0,0.0006633090752853573,8.121969758101086,8.121969758101086,0.0,0,0.5577410767504455,0.0003991779027252635
