grid_id,structure,g_internal,theta_in_RE,theta_out_DW,out_layers,n_seed,resource_attributable_W_mean,resource_attributable_W_std,central_resource_attributable_W_mean,fixed_to_matched_central_ratio_mean,efficiency_resource_to_W_mean,efficiency_resource_to_W_std,net_resource_transfer_mean,initial_internal_energy_change_mean,Q_noise_cum_mean,D_population_mean,D_to_W_flow_cum_mean,max_abs_energy_balance_residual,max_U_DW_commutator_norm,n_efficiency_gt_1,n_outlet_narrow
QFCBM_0199,chain,0.05,0.8,0.8,4,100,1.3450661845777227e-05,1.2848591573647347e-06,0.020018869904509316,0.0006719075683451052,1.1439122601410983e-06,8.429804263657713e-08,11.741105892606651,1.6949330247945948,13.408569182576032,0.03775972998579419,0.027469734824696543,3.5527136788005016e-14,0.0,0,0
QFCBM_0299,chain,0.1,0.8,0.8,4,100,0.0005277399309665098,2.3908097820607238e-05,0.07050648220199326,0.007487443602733108,3.7041394673896544e-05,9.476025525707314e-07,14.241012997595341,1.4862706291584937,15.699306703249201,0.03845690845306746,0.027976923505036402,1.6875389974302383e-14,0.0,0,0
QFCBM_0341,chain,0.2,0.2,0.05,1,100,0.031902619777984545,0.0005648362204834256,0.05845339179098945,0.5457811545078808,0.005962379199622732,1.3024964635529594e-05,5.350509954533691,2.2446991339969027,7.542801935659939,0.0983612793839959,0.052407152869372614,3.419486915845482e-14,0.0,0,0
QFCBM_0399,chain,0.2,0.8,0.8,4,100,0.00797409360623104,0.00018737253826506785,0.1957485234639598,0.040749662690634125,0.00040394332940936576,2.8777752351142705e-06,19.73874468770001,1.1400812913615461,20.843410542409853,0.04868184326177876,0.03541543664855673,7.882583474838611e-14,0.0,0,0
QFCBM_0408,chain,0.4,0.05,0.1,8,100,0.23402463300058268,0.0021706481958146786,0.3024104224269295,0.7738540068778018,0.5608344141133803,0.0002083066765044366,0.41727893642705566,2.4776567260284588,1.2811432258896753,0.007154444829772106,1.6137924365672447,3.8191672047105385e-14,0.0,0,0
QFCBM_0428,chain,0.4,0.1,0.1,8,100,0.914825032680562,0.00852360866822271,1.1937285751911104,0.7663489524725148,0.560202849532866,0.00021200529705836017,1.6330228114117538,2.4627168601993343,1.8011468353658935,0.010172645181459208,2.294592836247224,5.329070518200752e-14,0.0,0,0
QFCBM_0441,chain,0.4,0.2,0.05,1,100,0.04915071819724777,0.0007711703558690173,0.0556694203766027,0.882919966677386,0.008648076531172964,1.1665371777411172e-05,5.683331582074774,2.2383639663837656,7.8521218260010155,0.13058065507726888,0.06957372245740343,9.992007221626407e-15,0.0,0,0
QFCBM_0448,chain,0.4,0.2,0.1,8,100,3.3520162243839002,0.03173828359623835,4.542087008816122,0.7379796834678577,0.5577573777827909,0.00022655461307234442,6.009802999096184,2.405625381572635,3.6836443527189875,0.02097747331520516,4.731784027950562,2.4868995751603507e-14,0.0,0,0
QFCBM_0449,chain,0.4,0.2,0.2,1,100,0.6956675035376181,0.009968236436024654,0.7961674600704695,0.8737767205509431,0.1210178252444857,0.00013012619631936955,5.748403163213593,2.277320811948213,7.045053390594026,0.11216839540420911,0.9806705845675061,1.4210854715202004e-14,0.0,0,0
QFCBM_0468,chain,0.4,0.4,0.1,8,100,9.935374539865618,0.09834003651858068,15.356930969558709,0.6469524339264572,0.5489536148581571,0.0002819159291173022,18.098715856259314,2.2137696207302624,8.997343133559701,0.05016355251317462,11.31514234343228,7.949196856316122e-14,0.0,0,0
QFCBM_0469,chain,0.4,0.4,0.2,1,100,1.9316510511713476,0.028338093933049112,2.277120875045566,0.8482858373110429,0.11764452474824715,0.0001404586735809022,16.419174162748607,1.8305730318592826,16.033093062406703,0.2535393037048996,2.216654132201236,8.437694987151191e-15,0.0,0,0
QFCBM_0470,chain,0.4,0.4,0.2,2,100,5.734886208936845,0.06976338275300151,7.2160356875756975,0.7947325081267255,0.33242791517862974,0.00025940297445368766,17.251417185621737,2.024404686210859,12.738252376124915,0.17189298388658872,6.537569495707985,1.3322676295501878e-14,0.0,0,0
QFCBM_0488,chain,0.4,0.8,0.1,8,100,17.632413845010216,0.19009104076079844,38.37439457135488,0.4594732546702883,0.5212592170039677,0.0004992718038791578,33.82642914166325,1.8048268585512,16.619074351640034,0.08428692663084116,19.012181648576874,1.283417816466681e-13,0.0,0,0
QFCBM_0492,chain,0.4,0.8,0.2,8,100,11.022785556700121,0.1413195838775202,47.33316177709175,0.23286973819924356,0.3591269052555809,0.00042842511860467254,30.693055903766286,1.5207133991112993,19.996175079577416,4.900106178704023e-05,12.217594223299361,2.19824158875781e-14,0.0,0,0
QFCBM_0496,chain,0.4,0.8,0.4,8,100,0.055903417504665584,0.0009811785130324658,0.3539556702947075,0.1579572441571168,0.0021114622480860497,5.105465674805769e-06,26.47537384333257,0.9510521472363511,27.343060259256955,0.1145940259156461,0.0833657313116772,6.483702463810914e-14,0.0,0,0
QFCBM_0497,chain,0.4,0.8,0.8,1,100,17.632413845009886,0.19009104076080374,38.374394571353506,0.4594732546702962,0.5212592170039243,0.00049927180387898,33.826429141665436,1.804826858551222,16.619074351639767,0.08428692663083968,19.012181648576544,1.6875389974302383e-14,0.0,0,0
QFCBM_0500,chain,0.4,0.8,0.8,8,100,1.1751277484642682,0.018558956896327878,1.5576856098708927,0.7544040778634207,0.041129876067865875,7.363247134439051e-05,28.570612008985613,0.9148537165502691,28.20349683869092,0.4375391771647537,1.2819688868430297,6.394884621840903e-14,0.0,0,0
QFCBM_0781,ring,0.1,0.8,0.05,1,100,0.03257682925621743,0.001391925296782776,0.1976494085189946,0.16477646483861272,0.002270614053497112,5.2536394759191684e-05,14.34154470056312,1.4796730531168092,15.76817008179793,0.09956344867214657,0.053047671883089606,4.3520742565306136e-14,0.0,0,0
QFCBM_0799,ring,0.1,0.8,0.8,4,100,0.0018233275335414302,7.58627449367731e-05,0.07104700315524098,0.02567151192474006,0.0001280234588962772,2.739646443658134e-06,14.23674678753302,1.4867047633011978,15.694165185392183,0.0402568593562351,0.029286365442944592,2.753353101070388e-14,0.0,0,0
QFCBM_0888,ring,0.2,0.8,0.1,8,100,5.343337931724952,0.1112798406989807,25.208703830873382,0.21194597546665153,0.2534460454437959,0.0019453464424082668,21.081162516815457,1.531080586444384,16.10136650361158,0.028864745161845864,6.510876599646848,5.5955240441107896e-14,0.0,0,0
QFCBM_0895,ring,0.2,0.8,0.4,4,100,3.0731367243742023,0.06430849711534724,20.048696329918005,0.15326907917441143,0.15017459639386765,0.0012190897785206857,20.4625752041745,1.367166739480683,17.823276866100247,1.6068715266248634e-05,4.006465077552331,6.550315845288425e-14,0.0,0,0
QFCBM_0899,ring,0.2,0.8,0.8,4,100,0.016642564175022346,0.00036840579412774315,0.19689921532521001,0.08454667180385508,0.0008433110757218201,5.573092111636993e-06,19.73341711930017,1.1394797827135585,20.82878298034905,0.06063872771911246,0.04411392166145439,7.815970093361102e-14,0.0,0,0
QFCBM_0941,ring,0.4,0.2,0.05,1,100,0.033804438738194685,0.00041471030369641035,0.05600671258220346,0.6036237069645519,0.006072067795458677,2.995931794671718e-05,5.5674540156148415,2.2412848580202773,7.754407750628342,0.10197231631045621,0.054331123006881296,8.881784197001252e-15,0.0,0,0
QFCBM_0975,ring,0.4,0.4,0.4,4,100,7.724708091325144,0.0689292685521726,17.689657043229342,0.4366726465763923,0.4452518072792598,0.00117857864834308,17.349158072104967,2.1063416738781315,10.254494373663412,3.6902439589307846e-05,9.201005372320775,3.907985046680551e-14,0.0,0,0
QFCBM_0988,ring,0.4,0.8,0.1,8,100,15.840496850640406,0.1723230404797936,38.4040640178027,0.41246133391761997,0.48476323873093674,0.001210224719750435,32.676456253275134,1.7061654238843154,17.08149228191001,0.07670129872115193,17.301129395252033,1.3944401189291966e-13,0.0,0,0
QFCBM_0992,ring,0.4,0.8,0.2,8,100,14.861370495595153,0.15635952884880758,47.854959872319405,0.31054359342714677,0.4579724441532569,0.0012910040483275704,32.45022038687006,1.6451621081146157,17.75771471839374,6.552542616370103e-05,16.337667776590784,8.215650382226158e-15,0.0,0,0
QFCBM_0996,ring,0.4,0.8,0.4,8,100,0.09826957096317011,0.001539710620122916,0.3532087441054997,0.27823813461226876,0.0036816316209274708,9.444381102877026e-06,26.691744277200765,0.9357771554707375,27.50171594426471,0.17293145723148048,0.12580548840747238,7.283063041541028e-14,0.0,0,0
QFCBM_1000,ring,0.4,0.8,0.8,8,100,1.01230840318173,0.015690257819070554,1.5827355756072004,0.6395941622860443,0.037109617097517096,7.892352530482384e-05,27.27859197786711,0.9658105309734136,27.124851862240018,0.38210542684354315,1.119550646599236,5.639932965095795e-14,0.0,0,0
