condition,n_seed,mean_W_resource,mean_W_no_resource,mean_resource_attributable_W,min_resource_attributable_W,mean_action_allowed_cycles,mean_starved_cycles,mean_controller_energy_spent,mean_S_min,mean_S_max,mean_S_final,max_zero_store_action_violations,max_action_without_spend_violations,max_empty_store_action_violations,max_accounting_residual_abs
supply_always_on_initial_zero,60,30.851260933191462,0.5026069728918788,30.348653960299586,29.318210481722367,200.0,0.0,9.064192863283804,0.042339094899201186,1.0,0.9602792367970727,0,0,0,5.284661597215746e-14
supply_never_on_initial_positive,60,4.529248492241776,1.4870879228309588,3.0421605694108176,2.525901568073356,21.566666666666666,178.43333333333334,0.9926954353395813,0.0073045646604187105,1.0,0.0073045646604187105,0,0,0,4.39648317751562e-14
supply_never_on_initial_zero,60,0.5026069728918788,0.5026069728918788,-1.8539857149502127e-18,-2.220446049250313e-16,0.0,200.0,0.0,0.0,0.0,0.0,0,0,0,4.263256414560601e-14
supply_restart_after_stop_initial_zero,60,22.981109944149694,0.5026069728918788,22.478502971257814,21.330353108317137,158.08333333333334,41.916666666666664,7.189434123729269,0.024638048076175693,1.0,0.9602461684709559,0,0,0,4.8627768478581856e-14
supply_stop_midway_initial_zero,60,14.918377021906855,0.5026069728918788,14.415770049014975,13.696761619045144,101.66666666666667,98.33333333333333,4.680864554832042,0.00316866317246782,1.0,0.00316866317246782,0,0,0,4.7295500849031675e-14
