scenario_id,family,pattern,n_steps,delta_l1_coherence,delta_purity,max_abs_part_P1_delta,max_abs_ZZ_delta,max_abs_negativity_delta,part_P1_delta_json,pair_ZZ_delta_json,pair_negativity_delta_json,seed,scope
1004,external_periodic_drive,square_all_fast_toxic,109,-8.68477193953,-0.937209942058,0.340339010253,0.4967455835,0.0,"{""A"": 0.340339010253, ""B"": 0.337232698197, ""C"": 0.298575988173, ""D"": 0.255130543599}","{""AB"": -0.4967455835, ""AC"": -0.441596219351, ""AD"": -0.375631667162, ""BC"": -0.40157693831, ""BD"": -0.343626157046, ""CD"": -0.304424125032}","{""AB"": 0.0, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.0, ""BD"": 0.0, ""CD"": 0.0}",20260716,expanded_axes
1005,external_periodic_drive,burst_shock_all,34,-4.820555302036,-0.853794829343,0.341383097332,0.469877839259,0.0,"{""A"": 0.311383769857, ""B"": 0.316726864847, ""C"": 0.341383097332, ""D"": 0.298884938421}","{""AB"": -0.457623907786, ""AC"": -0.469877839259, ""AD"": -0.374310346997, ""BC"": -0.324735088847, ""BD"": -0.428577324332, ""CD"": -0.22635823304}","{""AB"": 0.0, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.0, ""BD"": 0.0, ""CD"": 0.0}",20260716,expanded_axes
1006,external_periodic_drive,slow_ramp_pressure,31,-5.575207204977,-0.880155656612,0.418186239326,0.488581792514,0.0,"{""A"": 0.418186239326, ""B"": 0.286888898683, ""C"": 0.312236910503, ""D"": 0.275191922739}","{""AB"": -0.44464681651, ""AC"": -0.451939902434, ""AD"": -0.35708781063, ""BC"": -0.467905561831, ""BD"": -0.382056067347, ""CD"": -0.488581792514}","{""AB"": 0.0, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.0, ""BD"": 0.0, ""CD"": 0.0}",20260716,expanded_axes
1007,multi_cell_chain_ring,three_node_chain_AB_BC,5,3.270456315328,0.0,0.545916278944,0.716397992849,0.226726279083,"{""A"": 0.440484757478, ""B"": 0.369970224402, ""C"": 0.545916278944, ""D"": 0.0}","{""AB"": -0.716397992849, ""AC"": -0.390375892479, ""AD"": -0.427280578133, ""BC"": -0.215157242801, ""BD"": -0.358879822039, ""CD"": -0.529551634465}","{""AB"": 0.226726279083, ""AC"": 0.013338651908, ""AD"": 0.0, ""BC"": 0.11977327777, ""BD"": 0.0, ""CD"": 0.0}",20260716,expanded_axes
1008,multi_cell_chain_ring,three_node_ring_ABC,5,3.482348277564,0.0,0.344093314684,0.547259590601,0.25263170926,"{""A"": 0.344093314684, ""B"": 0.336429275186, ""C"": 0.329187889005, ""D"": 0.0}","{""AB"": -0.262794742902, ""AC"": -0.547259590601, ""AD"": -0.328318162301, ""BC"": 0.053752455785, ""BD"": -0.321005485023, ""CD"": -0.314096084281}","{""AB"": 0.109969808957, ""AC"": 0.25263170926, ""AD"": 0.0, ""BC"": 0.167614453824, ""BD"": 0.0, ""CD"": 0.0}",20260716,expanded_axes
1009,multi_cell_chain_ring,four_node_chain_ABCD,5,3.769873020244,0.0,0.350057399605,0.463947461287,0.101515389737,"{""A"": 0.203988258029, ""B"": 0.350057399605, ""C"": 0.023382842536, ""D"": 0.328714124237}","{""AB"": -0.429528789833, ""AC"": -0.375026444623, ""AD"": -0.444191375127, ""BC"": -0.463947461287, ""BD"": -0.365915114825, ""CD"": -0.429939005394}","{""AB"": 0.057821681872, ""AC"": 0.029365778396, ""AD"": 0.016046204225, ""BC"": 0.095278587119, ""BD"": 0.078565319916, ""CD"": 0.101515389737}",20260716,expanded_axes
1010,multi_cell_chain_ring,four_node_ring_ABCD,4,1.971807768897,0.0,0.362361904307,0.61789712311,0.104239362745,"{""A"": 0.362361904307, ""B"": 0.349623847531, ""C"": 0.156441961143, ""D"": 0.042113328829}","{""AB"": -0.227718825479, ""AC"": -0.181613730483, ""AD"": -0.61789712311, ""BC"": -0.461158252089, ""BD"": -0.224490230717, ""CD"": -0.372847207579}","{""AB"": 0.104239362745, ""AC"": 0.068404542891, ""AD"": 0.004375405911, ""BC"": 0.0, ""BD"": 0.082195890296, ""CD"": 0.081283769441}",20260716,expanded_axes
1011,multi_cell_chain_ring,four_node_two_contacts,4,2.762656541315,0.0,0.341562752684,0.218218635878,0.181892835355,"{""A"": 0.143655425711, ""B"": 0.341562752684, ""C"": 0.215985012972, ""D"": 0.220450062987}","{""AB"": -0.218218635878, ""AC"": -0.145447699104, ""AD"": -0.150345602032, ""BC"": -0.163540416032, ""BD"": -0.044236297771, ""CD"": -0.164177211287}","{""AB"": 0.057172372491, ""AC"": 0.034305795731, ""AD"": 0.024599460367, ""BC"": 0.181892835355, ""BD"": 0.067185440265, ""CD"": 0.032771466741}",20260716,expanded_axes
1012,measurement_timing_intervention,measure_A_each_step,25,3.257320236092,0.0,0.419090795619,0.690292322747,0.181159843264,"{""A"": 0.036713872185, ""B"": 0.419090795619, ""C"": 0.357070872974, ""D"": 0.350711795298}","{""AB"": -0.690292322747, ""AC"": -0.537719769153, ""AD"": -0.528598169284, ""BC"": -0.332856920064, ""BD"": -0.22577972701, ""CD"": 0.099241035738}","{""AB"": 0.001401157381, ""AC"": 0.0, ""AD"": 0.001528582274, ""BC"": 0.164011252404, ""BD"": 0.181159843264, ""CD"": 0.104545364465}",20260716,expanded_axes
1013,measurement_timing_intervention,measure_rotating_ABCD,25,1.594961844559,0.0,0.598311227137,0.882373584438,0.222351315627,"{""A"": 0.598311227137, ""B"": 0.288412964748, ""C"": 0.286311591965, ""D"": 0.588790204165}","{""AB"": -0.858312723158, ""AC"": -0.214112709092, ""AD"": -0.064280135872, ""BC"": -0.882373584438, ""BD"": -0.372937659315, ""CD"": -0.30572692117}","{""AB"": 0.222351315627, ""AC"": 0.037524076772, ""AD"": 0.0, ""BC"": 0.125744177715, ""BD"": 0.012067214468, ""CD"": 0.15486598984}",20260716,expanded_axes
