candidate_id,param_gain,param_leak,param_downstream_bias,param_ad_gate,param_d_block,param_max_angle_mult,score,mean_gain,median_gain,n_positive_gain,n_eval,mean_penalty,max_residual,generation,origin
hand_coded,1.0,0.0,1.0,1.0,1.0,2.0,3.3334290002514066,3.3334290002514066,0.17699819376397963,60,60,0.0,8.79296635503124e-14,0,seed
gen0_rand001,1.8900329362699555,0.27991731376513024,1.6757377569508998,0.1695275319495151,0.4169661265847613,1.4653400446114806,-2.2316452245832683,-2.2316452245832683,0.0010781501490819871,40,60,0.0,6.283862319378386e-14,0,random
gen0_rand002,1.5986385231245819,0.14192168459446827,1.9385568394505008,1.625406464312696,1.318094017401901,2.2157247034201433,-0.6777014792459414,-0.6777014792459414,0.005869158646013058,40,60,0.0,7.149836278586008e-14,0,random
gen0_rand003,0.9072923522714849,0.002948290412045973,1.0546546333355966,0.9742734392080856,1.7697366369818024,1.2658932606010267,2.4875809904820176,2.4875809904820176,0.010843028627844517,47,60,0.0,8.304468224196171e-14,0,random
gen0_rand004,1.4641833845979517,0.10833901224442376,1.7079102677666684,0.7030534437623925,0.3725655692505867,1.7137337921887923,1.7544548448626183,1.7544548448626183,0.03063950884891344,60,60,0.0,6.88338275267597e-14,0,random
gen0_rand005,1.5457381795472789,0.13045633709929216,1.3404152050899791,0.3944764619507204,1.6687927613230424,1.341108680542776,0.8336881833950776,0.8336881833950776,0.01710294001437141,60,60,0.0,6.106226635438361e-14,0,random
gen0_rand006,2.407132674881618,0.26100237607344023,1.8750137102105198,0.17246572910396263,1.4454789760775466,1.4105725429642502,-3.489715128409456,-3.489715128409456,-0.009542253529655657,0,60,0.0,6.039613253960852e-14,0,random
gen0_rand007,2.4708765698029844,0.07566413582850016,0.7555390895881748,1.5183334310832184,1.6384537447354894,1.6555477353247294,1.5044882618536497,1.5044882618536497,0.03776793458655156,42,60,0.0,8.903988657493755e-14,0,random
gen0_rand008,2.1969439875098047,0.09601441433468923,0.9524878546977171,1.2402015888858908,1.6660627092667142,2.1310935801043325,2.8136720504406822,2.8136720504406822,0.07179096627645493,60,60,0.0,8.704148513061227e-14,0,random
gen0_rand009,1.8891088069691764,0.012197755185562454,0.7989208616966356,1.0500666579151485,1.1547587953941092,1.008453562942291,-0.05577525620665306,-0.05577525620665306,-0.016072946322430507,5,60,0.0,1.0169642905566434e-13,0,random
gen0_rand010,0.4884960126588598,0.1883556139154344,1.815943087416111,1.8127205896273393,0.8301971989601751,1.2624258454415245,-3.196266085059525,-3.196266085059525,-0.009664789564080876,0,60,0.0,7.815970093361102e-14,0,random
gen0_rand011,0.6593800277069203,0.232805678913056,1.1463029600737864,0.903250771143203,1.6101486729935581,1.816275982563209,2.3976973042092387,2.3976973042092387,0.08963943504300367,60,60,0.0,8.304468224196171e-14,0,random
hand_coded,1.0,0.0,1.0,1.0,1.0,2.0,3.3334290002514066,3.3334290002514066,0.17699819376397963,60,60,0.0,8.79296635503124e-14,1,elite
gen0_rand008,2.1969439875098047,0.09601441433468923,0.9524878546977171,1.2402015888858908,1.6660627092667142,2.1310935801043325,2.8136720504406822,2.8136720504406822,0.07179096627645493,60,60,0.0,8.704148513061227e-14,1,elite
gen0_rand003,0.9072923522714849,0.002948290412045973,1.0546546333355966,0.9742734392080856,1.7697366369818024,1.2658932606010267,2.4875809904820176,2.4875809904820176,0.010843028627844517,47,60,0.0,8.304468224196171e-14,1,elite
gen0_rand011,0.6593800277069203,0.232805678913056,1.1463029600737864,0.903250771143203,1.6101486729935581,1.816275982563209,2.3976973042092387,2.3976973042092387,0.08963943504300367,60,60,0.0,8.304468224196171e-14,1,elite
gen1_mut004_from_hand_coded,1.316046513510393,0.0,1.21655495434032,0.8170338405140802,0.754060945101601,2.311434684217949,3.1175848711899783,3.1175848711899783,0.20323821171648113,60,60,0.0,8.326672684688674e-14,1,mutation
gen1_mut005_from_gen0_rand008,1.8622562243196095,0.14506480348295078,1.0237617073940186,0.3591957813942048,1.2689474857840546,2.228751828723916,0.9738065506286789,0.9738065506313317,0.07094277230985663,60,60,2.6526928801710406e-12,8.415490526658687e-14,1,mutation
gen1_mut006_from_gen0_rand003,0.9444789042516674,0.07078995552539026,1.0665758698972503,0.5396554379760687,2.0,1.0,-0.276262618028583,-0.276262618028583,-0.012061620228055257,0,60,0.0,6.861178292183467e-14,1,mutation
gen1_mut007_from_gen0_rand011,0.8600635025168996,0.2758206630566927,1.5374186895500959,0.2579009844182918,1.773674186627465,1.9248614627967116,-1.0190338358573383,-1.0190338358572437,0.007259320212125806,40,60,9.473903143468003e-14,7.926992395823618e-14,1,mutation
gen1_mut008_from_hand_coded,0.6234679743473066,0.0,1.568803029965549,1.6594119046057982,1.55202522877154,1.6884502620999466,4.544840398192302,4.544840398192302,0.183277989808617,60,60,0.0,6.17284001691587e-14,1,mutation
gen1_mut009_from_gen0_rand008,2.8320132709289245,0.05309791359072234,1.288705318284161,0.862518274552172,1.6820239287480379,1.8749037038425875,2.601667379864174,2.6016673798650265,0.08320808863561258,60,60,8.526512829121202e-13,8.104628079763643e-14,1,mutation
gen1_mut010_from_gen0_rand003,1.2844872562407719,0.13939604194004487,1.4285343648031044,1.382860625070726,1.761598694744491,1.2657246144799728,1.7062721153651297,1.7062721153651297,0.0077594327919386225,60,60,0.0,8.948397578478762e-14,1,mutation
gen1_mut011_from_gen0_rand011,0.8202953150008928,0.26907876088948424,1.2330766581848867,1.001674983456677,1.9502247811341338,1.9867636902100705,2.6280754417798864,2.6280754417838654,0.08872642634969566,60,60,3.979039320256561e-12,8.415490526658687e-14,1,mutation
gen1_mut008_from_hand_coded,0.6234679743473066,0.0,1.568803029965549,1.6594119046057982,1.55202522877154,1.6884502620999466,4.544840398192302,4.544840398192302,0.183277989808617,60,60,0.0,6.17284001691587e-14,2,elite
hand_coded,1.0,0.0,1.0,1.0,1.0,2.0,3.3334290002514066,3.3334290002514066,0.17699819376397963,60,60,0.0,8.79296635503124e-14,2,elite
gen1_mut004_from_hand_coded,1.316046513510393,0.0,1.21655495434032,0.8170338405140802,0.754060945101601,2.311434684217949,3.1175848711899783,3.1175848711899783,0.20323821171648113,60,60,0.0,8.326672684688674e-14,2,elite
gen0_rand008,2.1969439875098047,0.09601441433468923,0.9524878546977171,1.2402015888858908,1.6660627092667142,2.1310935801043325,2.8136720504406822,2.8136720504406822,0.07179096627645493,60,60,0.0,8.704148513061227e-14,2,elite
gen2_mut004_from_gen1_mut008_from_hand_coded,1.5100425600102099,0.0,0.771066244266227,1.7987261518125186,1.8968431558689223,1.906336277067767,2.8496147783125614,2.8496147783125614,0.11990042092196992,60,60,0.0,8.548717289613705e-14,2,mutation
gen2_mut005_from_hand_coded,0.8611620685830996,0.0,1.164545827450713,1.3549582551663066,1.1599338870018465,2.162406333107729,3.8804265347422957,3.8804265347422957,0.18796206400555887,60,60,0.0,8.526512829121202e-14,2,mutation
gen2_mut006_from_gen1_mut004_from_hand_coded,1.709531042732254,0.0,0.8967486138403604,0.5388759194468984,0.7028545259951802,2.142772971466022,2.0755345597442036,2.0755345597442036,0.16303228532195777,60,60,0.0,8.459899447643693e-14,2,mutation
gen2_mut007_from_gen0_rand008,2.0068882425885928,0.09177275378323063,1.4106930833836229,0.8471558170584488,1.745310346946338,1.81554374953215,2.7719921847004536,2.7719921847004536,0.09708931619090448,60,60,0.0,7.882583474838611e-14,2,mutation
gen2_mut008_from_gen1_mut008_from_hand_coded,0.8954970900800753,0.0,1.6168544646335714,1.2724551382033202,1.2411067859023053,1.9116732153219738,4.6072937162046,4.6072937162046,0.20213668334310975,60,60,0.0,8.526512829121202e-14,2,mutation
gen2_mut009_from_hand_coded,1.1838489417056737,0.0,1.318892027098162,0.9730705942238653,1.2800180923719686,2.1171451404033546,3.291685965182558,3.291685965182558,0.20136519556225096,60,60,0.0,8.126832540256146e-14,2,mutation
gen2_mut010_from_gen1_mut004_from_hand_coded,2.252887465647358,0.09995403709889773,1.7050699819713853,0.6749454373926855,1.3048994515838386,2.173623341871444,1.2261485008045114,1.2261485008067377,0.04801920338045687,60,60,2.2263672387149804e-12,7.038813976123492e-14,2,mutation
gen2_mut011_from_gen0_rand008,2.414810841210051,0.1227458834716467,1.2963776966314884,0.9597362943676434,1.427869565259427,2.147547634945598,2.0643101042579093,2.0643101042600884,0.05056482048954111,60,60,2.1789977229976407e-12,8.304468224196171e-14,2,mutation
gen2_mut008_from_gen1_mut008_from_hand_coded,0.8954970900800753,0.0,1.6168544646335714,1.2724551382033202,1.2411067859023053,1.9116732153219738,4.6072937162046,4.6072937162046,0.20213668334310975,60,60,0.0,8.526512829121202e-14,3,elite
gen1_mut008_from_hand_coded,0.6234679743473066,0.0,1.568803029965549,1.6594119046057982,1.55202522877154,1.6884502620999466,4.544840398192302,4.544840398192302,0.183277989808617,60,60,0.0,6.17284001691587e-14,3,elite
gen2_mut005_from_hand_coded,0.8611620685830996,0.0,1.164545827450713,1.3549582551663066,1.1599338870018465,2.162406333107729,3.8804265347422957,3.8804265347422957,0.18796206400555887,60,60,0.0,8.526512829121202e-14,3,elite
hand_coded,1.0,0.0,1.0,1.0,1.0,2.0,3.3334290002514066,3.3334290002514066,0.17699819376397963,60,60,0.0,8.79296635503124e-14,3,elite
gen3_mut004_from_gen2_mut008_from_gen1_mut008_from_hand_coded,1.8563598601118294,0.14503781220471249,1.6070510366334525,0.843545095746156,0.7604857561957512,1.7631772940646426,1.5105187502461004,1.5105187502461004,0.03703546181393045,60,60,0.0,6.550315845288424e-14,3,mutation
gen3_mut005_from_gen1_mut008_from_hand_coded,0.37969181262656126,0.0,1.9687223417365893,1.9128557559499622,1.9524174928423257,2.087895790079794,0.6080011327175375,0.6080011327175375,0.17293178166048312,60,60,0.0,7.72715225139109e-14,3,mutation
gen3_mut006_from_gen2_mut005_from_hand_coded,0.34823508702284445,0.0,1.1782562061707333,1.08836980126976,1.3578925931261416,2.198144307207238,4.204781626911766,4.204781626911766,0.13448544128486484,60,60,0.0,8.415490526658687e-14,3,mutation
gen3_mut007_from_hand_coded,1.9886255095154342,0.006838035352394519,1.0233651189739945,1.170261534417638,1.5036168510751369,1.959939726171914,2.8106185849189456,2.8106185849189456,0.15997943894690997,60,60,0.0,8.748557434046234e-14,3,mutation
gen3_mut008_from_gen2_mut008_from_gen1_mut008_from_hand_coded,0.6472188683559135,0.10426010293811239,1.5371474052335312,1.5657382386724181,0.9027353549524135,2.2582454289775455,2.185296220021949,2.185296220021949,0.199223945183187,60,60,0.0,8.104628079763643e-14,3,mutation
gen3_mut009_from_gen1_mut008_from_hand_coded,0.25,0.0,1.4351130376041186,1.6634374702258472,0.9463462587054413,1.2453048152685098,-1.5372378442663546,-1.370571177599688,-0.0002000222427507867,29,60,0.16666666666666666,8.926193117986259e-14,3,mutation
gen3_mut010_from_gen2_mut005_from_hand_coded,2.5719936026009256,0.0,1.487423291303767,1.4670005588156465,1.1487137180206144,2.1423405555652275,2.807348664122135,2.807348664122135,0.1818702383456762,60,60,0.0,8.348877145181177e-14,3,mutation
gen3_mut011_from_hand_coded,1.0637421791609096,0.0,1.0525179546512293,1.0749260189954069,1.5681734648333054,2.1673703413643177,3.261106110026016,3.261106110026016,0.1693609332374468,60,60,0.0,8.704148513061227e-14,3,mutation
