region_type,grid_id,structure,g_internal,theta_in_RE,theta_out_DW,out_layers,n_seed,resource_attributable_W_mean,resource_attributable_W_std,central_resource_attributable_W_mean,fixed_to_matched_central_ratio_mean,efficiency_resource_to_W_mean,efficiency_resource_to_W_std,net_resource_transfer_mean,initial_internal_energy_change_mean,Q_noise_cum_mean,D_population_mean,D_to_W_flow_cum_mean,max_abs_energy_balance_residual,max_U_DW_commutator_norm,n_efficiency_gt_1,n_outlet_narrow
top_resource_attributable_W,QFCBM_0488,chain,0.4,0.8,0.1,8,10,17.6555578850702,0.2000662632498519,38.380658814000995,0.4600009968262461,0.5211955932974945,0.00045635824098030523,33.87501845087711,1.7911096330303156,16.62008478843648,0.08443704586493656,19.046043295473403,1.2789769243681806e-13,0.0,0,0
top_resource_attributable_W,QFCBM_0494,chain,0.4,0.8,0.4,2,10,17.655557885069904,0.20006626324985669,38.38065881399983,0.46000099682625245,0.521195593297457,0.00045635824098013604,33.87501845087898,1.791109633030334,16.620084788436262,0.08443704586493532,19.046043295473105,9.769962616701378e-15,0.0,0,0
top_resource_attributable_W,QFCBM_0497,chain,0.4,0.8,0.8,1,10,17.65555788506987,0.200066263249858,38.380658813999624,0.46000099682625406,0.521195593297451,0.000456358240980057,33.8750184508793,1.7911096330303373,16.62008478843622,0.08443704586493506,19.046043295473073,1.3100631690576847e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0491,chain,0.4,0.8,0.2,4,10,17.65555788506986,0.20006626324985602,38.38065881399958,0.4600009968262541,0.5211955932974496,0.00045635824098028144,33.87501845087938,1.791109633030338,16.62008478843621,0.08443704586493503,19.046043295473062,1.9317880628477724e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0988,ring,0.4,0.8,0.1,8,10,15.879789510523512,0.20440857498462067,38.40594347191383,0.4134587822889283,0.485146731939361,0.0014399144640066708,32.73120347679404,1.6924481983634305,17.08181400814373,0.07688177117712197,17.34183766701635,1.381117442633695e-13,0.0,0,0
top_resource_attributable_W,QFCBM_0994,ring,0.4,0.8,0.4,2,10,15.879789510523278,0.20440857498462248,38.40594347191264,0.41345878228893496,0.4851467319393291,0.0014399144640072322,32.73120347679571,1.69244819836345,17.081814008143514,0.076881771177121,17.341837667016115,2.131628207280301e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0997,ring,0.4,0.8,0.8,1,10,15.879789510523235,0.20440857498462411,38.40594347191245,0.4134587822889359,0.4851467319393228,0.0014399144640071311,32.731203476796054,1.692448198363453,17.081814008143475,0.07688177117712072,17.34183766701607,5.551115123125783e-15,0.0,0,0
top_resource_attributable_W,QFCBM_0991,ring,0.4,0.8,0.2,4,10,15.87978951052323,0.20440857498462495,38.40594347191241,0.4134587822889362,0.48514673193932156,0.0014399144640072838,32.731203476796125,1.6924481983634538,17.08181400814347,0.07688177117712072,17.341837667016065,9.769962616701378e-15,0.0,0,0
top_resource_attributable_W,QFCBM_0995,ring,0.4,0.8,0.4,4,10,14.900346458350757,0.18923517599663683,47.86606875049679,0.3112838576912391,0.45838541232976837,0.0012830305681373203,32.50568212586502,1.6314448825937276,17.750583828345803,6.572145057113329e-05,16.3865431801132,3.2862601528904634e-14,0.0,0,0
top_resource_attributable_W,QFCBM_0998,ring,0.4,0.8,0.8,2,10,14.900346458350707,0.1892351759966377,47.866068750496495,0.31128385769124006,0.4583854123297635,0.0012830305681379261,32.50568212586526,1.6314448825937304,17.750583828345768,6.572145057113325e-05,16.386543180113158,7.993605777301127e-15,0.0,0,0
