coupling_mode,intervention,n,mean_abs_delta_P1_W,mean_delta_P1_W,mean_delta_l1_coherence,mean_delta_purity,mean_delta_max_link_negativity,top_label,label_counts
broken_middle_link,echo_reversal,56,0.009965689068,-0.009965689068,0.442453839986,0.0,-0.000695930571,mixed_small_response,"{'quiet_or_absorbed': 10, 'mixed_small_response': 31, 'coherence_amplification': 10, 'direct_output_response': 4, 'coherence_loss': 1}"
broken_middle_link,reset_patch,56,0.001850691086,-0.001850691086,0.061224878391,-0.014183625133,0.004798049077,quiet_or_absorbed,"{'quiet_or_absorbed': 40, 'mixed_small_response': 16}"
broken_middle_link,ry_touch,56,0.028548771505,0.028548771505,0.480469637664,0.0,-0.054889211597,mixed_small_response,"{'quiet_or_absorbed': 4, 'mixed_small_response': 25, 'coherence_loss': 7, 'coherence_amplification': 8, 'direct_output_response': 12}"
broken_middle_link,rz_phase_kick,56,0.00938240842,-0.00938240842,0.434495994806,0.0,0.006379411921,mixed_small_response,"{'mixed_small_response': 26, 'quiet_or_absorbed': 8, 'coherence_amplification': 9, 'entanglement_gain_without_output_shift': 4, 'direct_output_response': 2, 'coherence_loss': 5, 'entanglement_linked_distal_response': 2}"
broken_middle_link,saturation_drive,56,0.032466106705,0.032466106705,0.944766529808,0.0,-0.060998809277,coherence_amplification,"{'quiet_or_absorbed': 10, 'coherence_amplification': 17, 'direct_output_response': 14, 'mixed_small_response': 7, 'coherence_loss': 6, 'entanglement_linked_distal_response': 2}"
broken_middle_link,weak_measurement_patch,56,0.008114918135,-0.008114918135,-0.763339914547,-0.237573231133,-0.012112601197,mixed_small_response,"{'coherence_loss': 5, 'collapse_like_decoherence': 15, 'mixed_small_response': 27, 'quiet_or_absorbed': 4, 'coherence_amplification': 1, 'direct_output_response': 4}"
broken_middle_link,x_flip_touch,56,0.028607463471,0.028607463471,0.686593787623,0.0,0.011052873802,mixed_small_response,"{'quiet_or_absorbed': 8, 'mixed_small_response': 22, 'coherence_loss': 4, 'coherence_amplification': 10, 'direct_output_response': 6, 'entanglement_linked_distal_response': 6}"
broken_middle_link,z_dephase_patch,56,0.005439061679,-0.005439061679,-0.384834218649,-0.138821845646,0.000871952434,mixed_small_response,"{'mixed_small_response': 28, 'coherence_loss': 3, 'collapse_like_decoherence': 9, 'quiet_or_absorbed': 16}"
dephased_chain,echo_reversal,56,0.000764908244,-0.000763953726,0.001042821482,-2.831081e-06,0.0,quiet_or_absorbed,{'quiet_or_absorbed': 56}
dephased_chain,reset_patch,56,1.5632158e-05,-1.5209199e-05,-0.001921811813,-4.450032e-06,0.0,quiet_or_absorbed,{'quiet_or_absorbed': 56}
