candidate,n_rows,pass_rows,pass_rate,max_trace_error,max_hermiticity_error,min_eigenvalue_min,max_abs_energy_delta,max_diag_l1_delta,mean_coherence_delta,mean_negativity_delta,mean_phase_alignment_delta,mean_structure_cost
population_fixed_offdiag_restore,2400,2240,0.9333333333333333,5.551115123125783e-15,8.326672684688674e-17,-0.008585974001722303,0.0,0.0,0.15972804086708184,0.00036581747402179057,9.3976264738324e-05,0.055904814303478635
phase_only_alignment,2400,2321,0.9670833333333333,5.551115123125783e-15,2.284495964423008e-14,-0.004638803052389127,0.0,0.0,-8.326672684688674e-19,-2.9961551177478177e-05,0.00018557728468988872,6.495204964146104e-05
diagonal_phase_unitary_alignment,2400,313,0.13041666666666665,5.551115123125783e-15,8.327124423340013e-17,2.6450796882839617e-10,1.3322676295501878e-15,1.0755285551056204e-16,3.885780586188048e-18,9.274748308708883e-06,-0.01892232876885758,4.093736884596251e-06
