condition,recovery_mode,touch_type,target,touch_index,touch_time,pre_coherence_residual,pre_population_bias,pre_baseline_negativity,pre_fatigue_index,peak_time_M_C,peak_neg_M_C,peak_time_C_R,peak_neg_C_R,peak_time_R_W,peak_neg_R_W,next_link_lag,mean_adjacent_peak,outer_peak
high_toxicity,active_recovery,unitary_touch,C,3,100,0.553985,0.0438425,0.006481316,0.1423305,105,0.036940148907,105,0.030290922104,118,0.012559650628,13,0.033615535505,0.012559650628
high_toxicity,active_recovery,unitary_touch,C,4,140,0.53359325,0.049947625,0.00542254,0.18414279,145,0.034595454532,145,0.028368272716,158,0.011762454541,13,0.031481863624,0.011762454541
high_toxicity,active_recovery,measurement_touch,C,1,20,0.7,0.02,0.006,0.02,25,0.044353556962,25,0.036369916709,38,0.015080209367,13,0.040361736835,0.015080209367
high_toxicity,active_recovery,measurement_touch,C,2,60,0.53315,0.1417,0.0060237,0.1716,65,0.028412071783,65,0.023297898862,78,0.009660104406,13,0.025854985323,0.009660104406
high_toxicity,active_recovery,measurement_touch,C,3,100,0.4580675,0.220805,0.00365958,0.289848,105,0.021391415906,105,0.017540961043,118,0.007273081408,13,0.019466188474,0.007273081408
high_toxicity,active_recovery,measurement_touch,C,4,140,0.424280375,0.27222325,0.001189384,0.38208144,145,0.017916364292,145,0.014691418719,158,0.006091563859,13,0.016303891506,0.006091563859
high_toxicity,full_reset_baseline,unitary_touch,C,1,20,0.7,0.02,0.006,0.02,25,0.05063191434,25,0.041518169759,38,0.017214850876,13,0.046075042049,0.017214850876
high_toxicity,full_reset_baseline,unitary_touch,C,2,60,0.7,0.02,0.006,0.02,65,0.05063191434,65,0.041518169759,78,0.017214850876,13,0.046075042049,0.017214850876
high_toxicity,full_reset_baseline,unitary_touch,C,3,100,0.7,0.02,0.006,0.02,105,0.05063191434,105,0.041518169759,118,0.017214850876,13,0.046075042049,0.017214850876
high_toxicity,full_reset_baseline,unitary_touch,C,4,140,0.7,0.02,0.006,0.02,145,0.05063191434,145,0.041518169759,158,0.017214850876,13,0.046075042049,0.017214850876
high_toxicity,full_reset_baseline,measurement_touch,C,1,20,0.7,0.02,0.006,0.02,25,0.044353556962,25,0.036369916709,38,0.015080209367,13,0.040361736835,0.015080209367
high_toxicity,full_reset_baseline,measurement_touch,C,2,60,0.7,0.02,0.006,0.02,65,0.044353556962,65,0.036369916709,78,0.015080209367,13,0.040361736835,0.015080209367
high_toxicity,full_reset_baseline,measurement_touch,C,3,100,0.7,0.02,0.006,0.02,105,0.044353556962,105,0.036369916709,118,0.015080209367,13,0.040361736835,0.015080209367
high_toxicity,full_reset_baseline,measurement_touch,C,4,140,0.7,0.02,0.006,0.02,145,0.044353556962,145,0.036369916709,158,0.015080209367,13,0.040361736835,0.015080209367
