grid_id,controller,kappa,M_initial_label,n_seed,mean_resource_attributable_W,median_resource_attributable_W,n_resource_attr_positive,all_resource_attr_positive,mean_controller_energy_spent,mean_M_energy_final,mean_controller_starved_cycles,max_emitted_when_starved_cycles,mean_angle_budget,mean_net_after_controller_spend,n_net_after_spend_positive,all_net_after_spend_positive,max_residual
QFCBM_0399,evolved,0.0,0.0,60,-2.5301890574022657e-17,-2.0816681711721685e-17,0,False,0.0,0.0,200.0,0.0,0.0,-2.5301890574022657e-17,0,False,4.39648317751562e-14
QFCBM_0399,evolved,0.0,0.2,60,0.016026746680043988,0.01579602726222195,60,True,0.0,0.2,0.0,0.0,152.2982333940672,0.016026746680043988,60,True,6.505906924303417e-14
QFCBM_0399,evolved,0.0,1.0,60,0.016026746680043988,0.01579602726222195,60,True,0.0,1.0,0.0,0.0,152.2982333940672,0.016026746680043988,60,True,6.505906924303417e-14
QFCBM_0399,evolved,0.0,20.0,60,0.016026746680043988,0.01579602726222195,60,True,0.0,20.0,0.0,0.0,152.2982333940672,0.016026746680043988,60,True,6.505906924303417e-14
QFCBM_0399,evolved,0.0,5.0,60,0.016026746680043988,0.01579602726222195,60,True,0.0,5.0,0.0,0.0,152.2982333940672,0.016026746680043988,60,True,6.505906924303417e-14
QFCBM_0399,evolved,0.0,unlimited,60,0.016026746680043988,0.01579602726222195,60,True,0.0,inf,0.0,0.0,152.2982333940672,0.016026746680043988,60,True,6.505906924303417e-14
QFCBM_0399,evolved,3e-05,0.0,60,-2.5301890574022657e-17,-2.0816681711721685e-17,0,False,0.0,0.0,200.0,0.0,0.0,-2.5301890574022657e-17,0,False,4.39648317751562e-14
QFCBM_0399,evolved,3e-05,0.2,60,0.016026746680043988,0.01579602726222195,60,True,0.004568947001821981,0.19543105299817848,0.0,0.0,152.2982333940672,0.011457799678222006,60,True,6.505906924303417e-14
QFCBM_0399,evolved,3e-05,1.0,60,0.016026746680043988,0.01579602726222195,60,True,0.004568947001821981,0.9954310529981747,0.0,0.0,152.2982333940672,0.011457799678222006,60,True,6.505906924303417e-14
QFCBM_0399,evolved,3e-05,20.0,60,0.016026746680043988,0.01579602726222195,60,True,0.004568947001821981,19.995431052998203,0.0,0.0,152.2982333940672,0.011457799678222006,60,True,6.505906924303417e-14
QFCBM_0399,evolved,3e-05,5.0,60,0.016026746680043988,0.01579602726222195,60,True,0.004568947001821981,4.995431052998206,0.0,0.0,152.2982333940672,0.011457799678222006,60,True,6.505906924303417e-14
QFCBM_0399,evolved,3e-05,unlimited,60,0.016026746680043988,0.01579602726222195,60,True,0.004568947001821981,inf,0.0,0.0,152.2982333940672,0.011457799678222006,60,True,6.505906924303417e-14
QFCBM_0399,evolved,0.0001,0.0,60,-2.5301890574022657e-17,-2.0816681711721685e-17,0,False,0.0,0.0,200.0,0.0,0.0,-2.5301890574022657e-17,0,False,4.39648317751562e-14
QFCBM_0399,evolved,0.0001,0.2,60,0.016026746680043988,0.01579602726222195,60,True,0.01522982333940671,0.18477017666059367,0.0,0.0,152.2982333940672,0.0007969233406372782,41,False,6.505906924303417e-14
QFCBM_0399,evolved,0.0001,1.0,60,0.016026746680043988,0.01579602726222195,60,True,0.01522982333940671,0.9847701766605976,0.0,0.0,152.2982333940672,0.0007969233406372782,41,False,6.505906924303417e-14
