arm,n_seed,mean_W_resource,mean_W_no_resource,mean_resource_attributable_W,std_resource_attributable_W,median_resource_attributable_W,ci95_low_resource_attributable_W,ci95_high_resource_attributable_W,seed_win_count_resource_gt_no_resource,min_resource_attributable_W,max_resource_attributable_W,mean_link_negativity,mean_link_negativity_no_resource,delta_link_negativity,mean_link_MI,mean_link_MI_no_resource,delta_link_MI,mean_l1_coherence,mean_l1_coherence_no_resource,delta_l1_coherence,max_residual,trace_error_max,hermiticity_error_max,min_eigenvalue_min,nan_count
quantum_direct,60,17.280221245134918,1.4226634848300281,15.857557760304891,0.16760801775885098,15.883221521064515,15.815147080288794,15.899968440320988,60,15.478118149275854,16.168755889657227,0.0017411744415471372,0.0003166167647357291,0.0014245576768114083,0.0646431592782389,0.002798657247587186,0.06184450203065171,1.6690117217015765,0.23271427408453507,1.4362974476170414,5.551115123125783e-15,2.7755575615628914e-15,1.113112801383594e-16,1.8029664821302394e-16,0
quantum_no_internal_links,60,0.5026069728918788,0.5026069728918788,-1.8539857149502127e-18,7.848951010340173e-17,0.0,-2.1714571993137186e-17,1.8006600563236762e-17,12,-2.220446049250313e-16,2.220446049250313e-16,3.3639524828173637e-20,3.199584167658453e-20,1.643683151589106e-21,1.6328718543870034e-14,5.988887570143465e-15,1.0339830973726568e-14,0.17297173396217586,0.24027010093560414,-0.06729836697342831,4.263256414560601e-14,2.1538326677728037e-14,1.1102230246251565e-16,-1.1601410142809369e-15,0
quantum_post_internal_dephased,60,9.062752954420692,1.2520689277343604,7.810684026686331,0.11083300700263761,7.823471394842194,7.782639406518019,7.838728646854642,60,7.569766798629153,8.000184136542348,0.0,0.0,0.0,0.007819174289249881,0.0002637046714667158,0.007555469617783165,1.2582527612418442e-18,7.308968245448948e-18,-6.050715484207103e-18,1.0436096431476471e-14,5.329070518200751e-15,4.0282480158900026e-17,2.7098855829139843e-17,0
quantum_dephase_after_each_link,60,9.561571674410697,1.2516054992773822,8.309966175133315,0.11523593927687495,8.32529469239856,8.28080745938466,8.33912489088197,60,8.061939453986833,8.513443059326073,0.0,0.0,0.0,0.00736667547101503,0.00025794310928672963,0.007108732361728301,6.93889390390723e-19,5.736152293896642e-18,-5.0422629035059194e-18,1.0658141036401503e-14,5.440092820663267e-15,4.042068551741392e-17,2.695122541097426e-17,0
classical_probability_transport,60,27.497050030053288,1.5774647809967695,25.91958524905652,0.2131967689162484,25.951264666376044,25.8656390234053,25.97353147470774,60,25.426951348370277,26.35787693353058,0.0,0.0,0.0,0.00321293742503148,0.00011087468613053488,0.0031020627389009453,-2.9328391567181216e-18,-3.4231876592609e-19,-2.590520390792032e-18,5.306866057708248e-14,2.6756374893466273e-14,0.0,1.0729260121636893e-15,0
central_upper_quantum,60,39.91762063572391,1.4936184628621754,38.424002172861734,0.2455641862152644,38.4224224126712,38.361865860624135,38.48613848509933,60,37.84280339137396,38.98230409221504,0.0002142987560878725,0.00022660781765295658,-1.230906156508409e-05,0.016487605875244355,0.0020928633550333087,0.014394742520211048,1.058644502001373,0.21851122428182926,0.8401332777195438,7.105427357601002e-15,3.552713678800501e-15,6.039886448857198e-17,4.154379047295883e-15,0
