seed,variant,n_post_burn,pass_rate,mean_membrane_signal,mean_reactor,mean_quality,mean_stability,mean_release,final_reactor,final_quality,final_stability,final_persistence,final_cumulative_release,event_match_to_full,membrane_signal_mae_to_full,release_mae_to_full,reactor_mae_to_full,quality_mae_to_full,persistence_mae_to_full,cumulative_release_delta_vs_full,final_state_distance_to_full
20260710,matched_signal_shuffle_replay,448,0.716517857,0.704340787,4.253097548,0.89585808,0.414247353,0.218822125,3.309860639,0.987925325,0.502169796,10.299113617,106.289714422,0.477678571,0.74083825,0.166626539,2.530056885,0.275092635,6.525446019,-41.623134918,1.831141234
20260710,matched_signal_lag_replay,448,0.716517857,0.704340787,4.571548738,0.928722084,0.445361038,0.205700636,3.277965529,1.040334813,0.700229112,13.994370894,101.31545923,0.506696429,0.750171848,0.144274585,2.222859023,0.254890682,5.306397355,-46.59739011,1.509876001
20260710,additive_boundary_membrane_to_reactor,448,0.388392857,0.049945276,0.623779406,0.30054762,0.181442246,0.060152206,2.258379017,0.458650116,0.222874483,4.35535058,33.965268123,0.640625,0.694471754,0.291349129,4.025528619,0.775051158,14.078241313,-113.947581217,3.189569978
20260710,strong_reactor_without_membrane,448,0.709821429,0.516361829,3.643017562,0.875561179,0.429953068,0.128080816,2.203008937,1.195302449,0.629941842,11.059220943,54.25570759,0.540178571,0.751140462,0.220202293,2.323018508,0.243554292,8.917183077,-93.65714175,2.443260027
20260711,full_membrane_to_reactor,448,0.649553571,0.642014803,3.698374266,0.907335933,0.460140051,0.159596783,2.869377151,1.206450892,0.734826974,16.667919334,90.151533656,,,,,,,,
20260711,no_memory_membrane_to_reactor,448,0.441964286,0.126174094,0.714164887,0.327328042,0.158257653,0.018640119,1.703620795,0.462195806,0.12,0.618848571,12.472740269,0.71875,0.520268667,0.141456664,2.951058868,0.580201014,8.457104127,-77.678793387,1.925023461
20260711,no_counterfactual_membrane_to_reactor,448,0.5,0.228424418,1.524316987,0.525614109,0.247491262,0.04979592,3.328090109,0.713283865,0.401463838,5.243114893,29.042011582,0.830357143,0.384157299,0.093851978,1.951344364,0.335647938,5.439756901,-61.109522074,1.32131957
20260711,matched_pass_rate_random_membrane,448,0.627232143,0.399240629,2.625074496,0.695127787,0.377438145,0.067458723,2.052092653,0.64736363,0.363706473,3.449685672,36.433821464,0.540178571,0.732872377,0.091596575,2.102786806,0.212208146,5.280754262,-53.717712192,1.665030706
20260711,matched_signal_shuffle_replay,448,0.622767857,0.64069742,3.534841557,0.818136424,0.401498027,0.142909333,3.451345592,0.875036206,0.466666297,9.469141391,71.159286085,0.571428571,0.721722704,0.068718716,1.39593754,0.141726858,3.487204986,-18.992247571,0.906960096
20260711,matched_signal_lag_replay,448,0.622767857,0.64069742,3.58551002,0.791146085,0.405354374,0.139170742,3.617228843,1.056534984,0.649166756,13.388741696,72.006254603,0.607142857,0.692241197,0.080992208,1.586822284,0.148220073,3.30920629,-18.145279053,0.646879269
20260711,additive_boundary_membrane_to_reactor,448,0.229910714,-0.192335183,0.188336447,0.220793099,0.134065681,0.002463581,1.338499288,0.342826731,0.12,0.454133225,1.578434364,0.555803571,0.84341637,0.157133202,3.531161053,0.686542834,8.890651905,-88.573099292,2.070371601
20260711,strong_reactor_without_membrane,448,0.627232143,0.473622265,3.045728395,0.829826395,0.419432669,0.093165621,1.817213808,1.140239895,0.599798209,8.858257059,43.595082756,0.533482143,0.69195082,0.083626802,1.36576742,0.082170184,3.265547664,-46.5564509,1.059557824
20260712,full_membrane_to_reactor,448,0.636160714,0.627630459,3.654155282,0.920294548,0.458654801,0.188489918,2.391312577,1.304805155,0.794231617,23.547461259,100.565995984,,,,,,,,
20260712,no_memory_membrane_to_reactor,448,0.419642857,0.124392569,0.979021771,0.358281409,0.163658043,0.040181098,2.176651616,0.49011612,0.175857926,1.57270605,21.751699589,0.689732143,0.514414477,0.251171011,2.623351463,0.566430393,13.531204339,-78.814296395,2.655485314
20260712,no_counterfactual_membrane_to_reactor,448,0.578125,0.196419648,1.943100532,0.637439149,0.2588868,0.136454789,4.74994445,1.209568736,0.563062579,16.237591914,70.295516624,0.814732143,0.379859551,0.101913915,1.857203799,0.325658713,9.362909,-30.27047936,1.160842903
20260712,matched_pass_rate_random_membrane,448,0.649553571,0.437255411,3.312166384,0.760127833,0.388395184,0.111973808,2.073804471,0.883920548,0.521218713,4.865092182,51.002618211,0.582589286,0.751124397,0.171603381,1.935590795,0.145636415,9.706438951,-49.563377773,1.858045582
20260712,matched_signal_shuffle_replay,448,0.649553571,0.626497244,4.002437716,0.72373512,0.399806666,0.150377777,1.362737902,0.941097396,0.481594,12.068126966,72.303952582,0.604910714,0.832422522,0.121249916,1.551317988,0.323721059,8.087916401,-28.262043402,1.969616368
20260712,matched_signal_lag_replay,448,0.649553571,0.626497244,4.231337779,0.841025646,0.431815628,0.179977773,3.372127622,1.22138834,0.631619057,13.472457065,88.862038,-12? ,0.625,0.810783156,0.088575423,1.240003235,0.052841334,5. ...
